iso_a3,wgt,more_selfish,more_criminal,gov_should_reduce_inequality,inequality_unfair,WP1219,WP1220,WP3117,income_2,WP14
EGY,0.5258196767699839,NA,4,5,5,1,44,1,6353.1107270610255,2
EGY,1.1966061785212236,2,NA,5,5,1,30,1,8470.814302748035,2
EGY,0.9450451339248647,5,NA,5,5,2,30,2,3388.3257210992138,2
EGY,0.6901165699848665,NA,NA,5,5,1,47,3,12706.221454122051,2
EGY,0.7164130982814317,4,NA,5,5,2,53,1,8470.814302748035,2
EGY,1.5402539555656645,NA,NA,5,5,1,23,1,12706.221454122051,2
EGY,0.35820654914071587,NA,NA,5,5,2,70,1,2964.7850059618117,2
EGY,0.5983030892606118,NA,NA,4,4,1,38,1,12706.221454122051,2
EGY,0.8153091136386151,2,NA,5,5,1,30,2,29647.85005961812,2
EGY,0.6935080372087912,NA,NA,5,5,2,34,1,6353.1107270610255,2
EGY,0.48812895892010344,NA,NA,NA,NA,2,55,2,1482.3925029809059,2
EGY,1.4643868767603108,NA,NA,5,5,2,62,2,7200.192157335829,2
EGY,1.2189814109539798,NA,NA,5,5,2,48,1,10588.517878435043,1
EGY,0.7810645960278166,NA,4,5,5,2,28,3,8470.814302748035,1
EGY,1.0402620558131865,NA,NA,NA,NA,2,36,1,6353.1107270610255,1
EGY,0.35820654914071587,NA,NA,NA,NA,2,65,1,6353.1107270610255,2
EGY,0.9270956071692229,NA,NA,5,5,1,57,1,6353.1107270610255,2
EGY,0.5983030892606118,NA,NA,3,3,1,33,1,5506.029296786222,2
EGY,0.8422369991698837,NA,NA,5,5,1,56,2,8470.814302748035,2
EGY,1.5621291920556333,2,4,4,4,2,20,2,10588.517878435043,2
EGY,2.432896523256652,2,NA,2,2,2,16,2,7200.192157335829,1
EGY,0.8926733930519107,NA,NA,5,5,2,19,1,6353.1107270610255,2
EGY,0.46007771332324426,NA,5,5,5,1,42,3,14823.92502980906,2
EGY,0.785248049879469,NA,NA,5,5,1,30,3,12706.221454122051,1
EGY,0.6935080372087912,2,NA,5,5,2,35,1,16941.62860549607,2
EGY,0.9450451339248647,1,NA,5,4,2,38,2,8470.814302748035,2
EGY,1.8246723924424892,NA,NA,5,5,2,18,2,8894.355017885437,1
EGY,0.46007771332324426,NA,NA,5,5,1,40,3,16941.62860549607,2
EGY,0.8926733930519107,NA,5,5,5,2,29,1,2117.7035756870087,2
EGY,0.7701269777828322,5,NA,5,5,1,29,1,7623.732872473231,6
EGY,1.216448261628326,NA,5,5,5,2,24,2,21177.035756870086,6
EGY,0.3582065491086283,NA,NA,5,5,2,30,1,3727.158293209135,6
EGY,0.6180637381128157,3,NA,5,5,1,52,1,12706.221454122051,2
EGY,0.5983030892606118,NA,NA,5,5,1,32,1,6353.1107270610255,2
EGY,0.6738398629039141,NA,NA,5,4,1,24,3,4235.407151374017,1
EGY,1.2189814109539798,NA,NA,5,5,2,49,1,8470.814302748035,2
EGY,0.9450451339248647,NA,NA,5,5,2,31,2,6353.1107270610255,6
EGY,0.6068004033061049,NA,NA,5,5,2,37,3,16941.62860549607,2
EGY,2.6236348888700896,NA,5,5,5,1,20,2,16941.62860549607,2
EGY,1.0746196474221479,5,5,5,5,2,55,1,0,6
EGY,2.432896523256652,5,1,5,5,2,18,2,5717.799654354923,6
EGY,0.6935080372087912,NA,NA,5,NA,2,33,1,8470.814302748035,2
EGY,0.9450451339248647,NA,3,5,5,2,35,2,10588.517878435043,6
EGY,0.6935080372087912,3,NA,4,5,2,31,1,3176.5553635305128,1
EGY,1.0469973998392919,2,NA,5,5,1,30,3,33883.25721099214,3
EGY,0.6268416999471198,2,NA,4,4,2,56,3,50824.885816488204,3
EGY,0.9402625499206795,NA,NA,5,5,2,65,3,16941.62860549607,3
EGY,1.0746196474221479,NA,NA,5,5,2,55,1,10588.517878435043,3
EGY,1.8246723924424892,2,NA,5,5,2,18,2,8470.814302748035,6
EGY,0.8926733930519107,3,NA,5,5,2,29,1,6776.6514421984275,2
EGY,0.6180637381128157,NA,NA,5,5,1,50,1,2964.7850059618117,2
EGY,0.6180637381128157,3,NA,NA,NA,1,68,1,10588.517878435043,2
EGY,0.5983030892606118,5,NA,5,5,1,31,1,6353.1107270610255,2
EGY,0.46007771332324426,NA,NA,5,5,1,40,3,21177.035756870086,3
EGY,0.6738398629039141,NA,NA,4,4,1,20,2,14823.92502980906,3
EGY,1.0746196474221479,NA,NA,5,5,2,52,1,12706.221454122051,3
